dataset,variant,variant_key,poison_percent,n_clients,n_attackers,ndcg@10,ndcg@20,recall@20,precision@20,acc@10,seed,best_training.local_epochs,best_training.learning_rate,best_preference.beta_Q,best_preference.lambda_uncertainty,best_preference.kappa
Foursquare,PCTRA FULL,full,0,30,0,0.0751933644971103,0.114543470486769,0.1840497889570685,0.0557272352698805,0.4256283477544293,42,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA FULL,full,10,30,3,0.0828043206871157,0.1228449446882607,0.1954035377682977,0.0587144622991347,0.4540585084466419,52,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA FULL,full,20,30,6,0.0758740128001278,0.1164602287066983,0.1897847702118373,0.057416563658838,0.4297486608982283,62,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA FULL,full,30,30,9,0.0783520700208514,0.1192427058561015,0.1887313173799083,0.0568603213844252,0.4301606922126081,72,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA FULL,full,50,30,15,0.0740619035003305,0.1152572245875037,0.1855309897420292,0.0562628759785743,0.4157395962093119,92,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Adaptive Caps,without_adaptive_caps,0,30,0,0.0751550898490087,0.1143154843204427,0.183583811451536,0.0555624227441285,0.426864441697569,42,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Adaptive Caps,without_adaptive_caps,10,30,3,0.0829081612885388,0.1230549554670249,0.1959994582980509,0.0587556654305727,0.4540585084466419,52,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Adaptive Caps,without_adaptive_caps,20,30,6,0.0759399382590797,0.1164264077191896,0.1897651348090127,0.057395962093119,0.4301606922126081,62,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Adaptive Caps,without_adaptive_caps,30,30,9,0.0783417513653566,0.1192189129893613,0.1887484853513408,0.0568809229501442,0.4297486608982283,72,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Adaptive Caps,without_adaptive_caps,50,30,15,0.0741740664532849,0.1149403179821239,0.1851505994049021,0.0560774618871034,0.4169756901524515,92,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o GCN (Matrix Factorization),without_gcn,0,30,0,0.0758229526692084,0.1149047655092733,0.1848174864304033,0.0560156571899464,0.4359291306139267,42,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o GCN (Matrix Factorization),without_gcn,10,30,3,0.0787753402741659,0.1185042530567203,0.1877591267254027,0.0568603213844252,0.4322208487845076,52,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o GCN (Matrix Factorization),without_gcn,20,30,6,0.080246280185888,0.1197430103340221,0.1893723040932833,0.0570045323444581,0.4404614750721055,62,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o GCN (Matrix Factorization),without_gcn,30,30,9,0.0805355370298919,0.1217958980861489,0.1942691737813056,0.0588380716934487,0.4454058508446642,72,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o GCN (Matrix Factorization),without_gcn,50,30,15,0.0807509514178909,0.1177949260716691,0.1835287490162526,0.0563864853728883,0.4573547589616811,92,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Marginal Utility,without_marginal_utility,0,30,0,0.0751063790577499,0.1142910203604335,0.1833236758082113,0.0555006180469715,0.4264524103831891,42,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Marginal Utility,without_marginal_utility,10,30,3,0.0831748263933305,0.1231226860768309,0.1959020347766471,0.0587144622991347,0.4552946023897816,52,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Marginal Utility,without_marginal_utility,20,30,6,0.0758356094851773,0.1165287786710749,0.1900461974800994,0.057457766790276,0.4281005356407087,62,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Marginal Utility,without_marginal_utility,30,30,9,0.0783081394282476,0.1190833606108354,0.1884296515961659,0.0568191182529872,0.4285125669550886,72,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Marginal Utility,without_marginal_utility,50,30,15,0.07429303558726,0.1150810988799265,0.1856061972338003,0.0561804697156984,0.4169756901524515,92,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,0,30,0,0.0751982858828809,0.1144216113592545,0.1837586126152124,0.0556036258755665,0.4256283477544293,42,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,10,30,3,0.0826551087207287,0.1224174546716488,0.1952686551513696,0.0585908529048207,0.4561186650185414,52,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,20,30,6,0.0753892681945272,0.1157574760747858,0.1890595794408383,0.0570663370416151,0.4309847548413679,62,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,30,30,9,0.0779869044321069,0.118487402956269,0.1877496127846443,0.0566131025957972,0.4243922538112896,72,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,50,30,15,0.0746318096797096,0.1148653494936261,0.1842267754474434,0.0559126493613514,0.4186238154099712,92,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,0,30,0,0.0751867618987577,0.1146781699869028,0.1841985780428169,0.0557684384013185,0.4256283477544293,42,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,10,30,3,0.0826827045070728,0.1228214599452305,0.1954391222909032,0.0587556654305727,0.4532344458178821,52,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,20,30,6,0.0759221951490122,0.1165456819085325,0.1897497417793682,0.057395962093119,0.4297486608982283,62,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,30,30,9,0.0782904831216708,0.119281702456053,0.1890947642532076,0.0569427276473011,0.430572723526988,72,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,50,30,15,0.0741213458627769,0.1153118958668646,0.1856545991363432,0.0562834775442933,0.4157395962093119,92,3,0.005,0.5,0.3,1.0
Gowalla,PCTRA FULL,full,0,30,0,0.1056228857298696,0.1402989981682144,0.1810554928268747,0.0920460491889063,0.543171114599686,42,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,10,30,3,0.1080436201967678,0.141113067303932,0.1796564266818776,0.0922815279958137,0.5481423338566196,52,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,20,30,6,0.1107952956804944,0.1445637291794901,0.1849317798438811,0.0937728937728937,0.5599162742019885,62,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,30,30,9,0.1070653524448618,0.1416002278330545,0.1816412439386628,0.092647828362114,0.5559916274201988,72,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,50,30,15,0.1056887222698817,0.14040120922199,0.1804083105442037,0.0925693354264783,0.5470957613814756,92,10,0.02,1.5,0.3,2.0
