dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Foursquare,0.5,0.3,0.2,1,0.005,0.0738778413986045,0.11304512177150136,0.08796800786228874,0.18119044626352676,0.05459414915533581,0.055274000824062634,0.23939019365471775,0.41738772146683145,0.6633704161516275
Foursquare,0.5,0.3,0.2,1,0.01,0.07626684452064408,0.11410328637060951,0.09294639672165235,0.18134785262783767,0.05640708693860734,0.055686032138442525,0.26328800988875156,0.44128553770086526,0.6773794808405439
Foursquare,0.5,0.3,0.2,1,0.02,0.0742866242693893,0.11607778113315384,0.09051976102609338,0.1893959033527459,0.05591264936135146,0.05751957148743306,0.2488669138854553,0.4210960032962505,0.6794396374124434
Foursquare,0.5,0.3,0.2,3,0.005,0.0768966205522627,0.11713612508603591,0.09434465825263481,0.18980140553969352,0.05735475896168108,0.05733415739596209,0.25669550885867326,0.44128553770086526,0.6893283889575608
Foursquare,0.5,0.3,0.2,3,0.01,0.07679694635617951,0.1154742102553377,0.09247347954694407,0.18300672557184955,0.05591264936135146,0.05591264936135146,0.2550473836011537,0.43757725587144625,0.6786155747836835
Foursquare,0.5,0.3,0.2,3,0.02,0.08090542441967316,0.12162600832253921,0.09743102186527607,0.19464526490211143,0.0584672435105068,0.057952204367531936,0.24927894519983518,0.45282241450350225,0.7091058920477956
Foursquare,0.5,0.3,0.2,5,0.005,0.07610867687120408,0.11717678100529691,0.09060921031453444,0.18835770166532728,0.05496497733827771,0.05665430572723527,0.24927894519983518,0.41944787803873096,0.6901524515863205
Foursquare,0.5,0.3,0.2,5,0.01,0.07524400146564147,0.11490103066892936,0.09185905423334281,0.1853954557667361,0.05591264936135146,0.05620107128141739,0.2484548825710754,0.43098475484136795,0.6744952616398846
Foursquare,0.5,0.3,0.2,5,0.02,0.07593086812096764,0.11511201743047486,0.0924909714322771,0.18532158183952138,0.05599505562422743,0.056139266584260404,0.24721878862793573,0.4334569427276473,0.6860321384425216
Foursquare,0.5,0.3,0.2,10,0.005,0.0782689115405967,0.11678240716786614,0.0940676393722045,0.18506175971107344,0.0569015245158632,0.05624227441285538,0.24474660074165636,0.4400494437577256,0.6827358879274825
Foursquare,0.5,0.3,0.2,10,0.01,0.07749151439706431,0.11764992182753552,0.09222689707146035,0.18690031774472943,0.05620107128141738,0.056736711990111245,0.25298722702925425,0.4330449114132674,0.680675731355583
Foursquare,0.5,0.3,0.2,10,0.02,0.07852542395581524,0.11859198787423522,0.09478775294507655,0.1887068153807016,0.056983930778739186,0.05737536052740008,0.253811289658014,0.44210960032962504,0.6864441697569015
Foursquare,0.5,0.3,0.5,1,0.005,0.0783908778577806,0.11688404252609849,0.09323818288169897,0.18514097003743574,0.056736711990111245,0.0557890399670375,0.2599917593737124,0.4388133498145859,0.6703749484960857
Foursquare,0.5,0.3,0.5,1,0.01,0.07344154909421537,0.1140665233878548,0.0899675226995962,0.18530769823130527,0.0542233209723939,0.05642768850432633,0.23939019365471775,0.4219200659250103,0.680675731355583
Foursquare,0.5,0.3,0.5,1,0.02,0.07927680824751403,0.12038654411961773,0.09685386313024466,0.1938412564079938,0.057807993407498974,0.05826122785331684,0.2542233209723939,0.45199835187474247,0.703749484960857
