dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Gowalla,0.5,0.3,0.2,1,0.005,0.10491871513735196,0.14076005411233686,0.0896851797832861,0.18403682207264196,0.09037153322867608,0.0923600209314495,0.34720041862899004,0.5512820512820513,0.7744636316064888
Gowalla,0.5,0.3,0.2,1,0.01,0.1078821813011673,0.14112415221244579,0.09129469320634771,0.18155341956062448,0.09348508634222921,0.09300104657247515,0.358451072736787,0.5661957090528519,0.7728937728937729
Gowalla,0.5,0.3,0.2,1,0.02,0.11011939997605297,0.1441868045934543,0.09258304221226013,0.18423468080217048,0.09432234432234432,0.09399529042386186,0.36473050758765047,0.5635792778649922,0.7734170591313448
Gowalla,0.5,0.3,0.2,3,0.005,0.11119455925147809,0.14565019214599095,0.09422795158307483,0.18687551714422826,0.09479330193615908,0.0945970695970696,0.3534798534798535,0.5593929879644165,0.7760334903192047
Gowalla,0.5,0.3,0.2,3,0.01,0.10853406913757994,0.14212912243266038,0.0922762012212339,0.18121370509420967,0.09319727891156462,0.09307953950811093,0.35714285714285715,0.5544217687074829,0.7639979068550498
Gowalla,0.5,0.3,0.2,3,0.02,0.10613706021455643,0.14076391623822604,0.09156155271621211,0.1835955381153433,0.09272632129774987,0.09322344322344324,0.3550497121925693,0.5638409209837781,0.7768184196755625
Gowalla,0.5,0.3,0.2,5,0.005,0.1070070821085233,0.1408592528850313,0.09139349860967808,0.18131025707683662,0.09298796441653584,0.09294871794871797,0.35949764521193095,0.5617477760334904,0.7807430664573521
Gowalla,0.5,0.3,0.2,5,0.01,0.1053265681087065,0.13867646602837855,0.0890609352870548,0.17819738285268827,0.09136577708006278,0.09131344845630561,0.347723704866562,0.5512820512820513,0.7671376242804814
Gowalla,0.5,0.3,0.2,5,0.02,0.10418702568677418,0.13907501949003395,0.0885678862339851,0.18115744116669596,0.091287284144427,0.0924908424908425,0.3411826268969126,0.5450026164311879,0.771847200418629
Gowalla,0.5,0.3,0.2,10,0.005,0.10859797026580764,0.14301609912811078,0.09147484790307603,0.18422636898083092,0.09340659340659341,0.0935112506541078,0.36106750392464676,0.5572998430141287,0.7799581371009943
Gowalla,0.5,0.3,0.2,10,0.01,0.10984528830481623,0.1430821750980891,0.0931407022856548,0.1834266163472453,0.09531658817373104,0.09377289377289379,0.3642072213500785,0.5716902145473574,0.7755102040816326
Gowalla,0.5,0.3,0.2,10,0.02,0.10733675365538972,0.1412059805934675,0.09139186348283343,0.18202771139148952,0.09259549973835687,0.09277864992150707,0.3597592883307169,0.5570381998953428,0.771585557299843
Gowalla,0.5,0.3,0.5,1,0.005,0.10897507433425588,0.14263919877408435,0.09254598446776588,0.1840007527415637,0.09471480900052329,0.0935504971219257,0.3665620094191523,0.5701203558346416,0.7836211407639979
Gowalla,0.5,0.3,0.5,1,0.01,0.1092968673738504,0.14221360879537778,0.09332382247427551,0.18210654717753688,0.09395604395604396,0.09284406070120356,0.35923600209314493,0.5614861329147044,0.7744636316064888
Gowalla,0.5,0.3,0.5,1,0.02,0.11056286515238493,0.14499186562810354,0.09299878849419962,0.18583761579447844,0.09479330193615908,0.09446624803767661,0.37545787545787546,0.5627943485086342,0.7762951334379906
Gowalla,0.5,0.3,0.5,3,0.005,0.1088981682003175,0.14366273391879075,0.0924086057995801,0.18706438356727154,0.09463631606488751,0.09416535845107273,0.35609628466771326,0.565410779696494,0.7849293563579278
Gowalla,0.5,0.3,0.5,3,0.01,0.10407869376231903,0.13758905103472885,0.08789698114568568,0.17900349315534178,0.09026687598116169,0.09052851909994768,0.3401360544217687,0.5429094714809001,0.7658294086865516
Gowalla,0.5,0.3,0.5,3,0.02,0.10556412515527645,0.13981925551159993,0.08772263456713264,0.1800132819441372,0.09173207744636316,0.09273940345368918,0.358451072736787,0.5444793301936159,0.7702773417059131
Gowalla,0.5,0.3,0.5,5,0.005,0.10681886919505093,0.14124146535848284,0.09204313085568251,0.18385930472860035,0.09262166405023547,0.09243851386708529,0.3532182103610675,0.5622710622710623,0.7739403453689168
Gowalla,0.5,0.3,0.5,5,0.01,0.10717979965560008,0.14062013052719696,0.0898640497530136,0.18074084598836138,0.0923600209314495,0.09200680272108842,0.36237571951857667,0.5554683411826269,0.7742019884877027
Gowalla,0.5,0.3,0.5,5,0.02,0.10773189374205201,0.14095278097944233,0.08981039019591586,0.17959278345246935,0.0923600209314495,0.09263474620617478,0.36106750392464676,0.5528519099947672,0.7697540554683412
Gowalla,0.5,0.3,0.5,10,0.005,0.10791493829977333,0.14233410065049765,0.09044313689120836,0.18306498372674623,0.09275248560962847,0.09296180010465725,0.3618524332810047,0.5604395604395604,0.7781266352694924
