dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Swarm,0.5,0.3,0.2,1,0.005,0.0691402288614514,0.1018272128166991,0.095300308313366,0.1915153398438251,0.0422683175215736,0.0427962694967036,0.1812724446588411,0.3095888942488074,0.4993300101838452
Swarm,0.5,0.3,0.2,1,0.01,0.068535043933847,0.0998295509931841,0.0930809277322881,0.1860991400251934,0.0422629576030444,0.0420566007396687,0.1828804202176127,0.3094816958782226,0.4903789462400171
Swarm,0.5,0.3,0.2,1,0.02,0.0695764754457377,0.1026831088726191,0.0951371450383682,0.193323926098817,0.0423540762180414,0.0429651069303746,0.1815940397705955,0.3140376266280753,0.4983652248485823
Swarm,0.5,0.3,0.2,3,0.005,0.0694238415880344,0.1020089230048214,0.0965790984483823,0.1932938860196774,0.0424076754033338,0.0427507101892051,0.1814868414000107,0.3145200192957067,0.4989548158867985
Swarm,0.5,0.3,0.2,3,0.01,0.0692816554435836,0.1021794297397975,0.095031633904802,0.1931586643730077,0.0423540762180414,0.0427641099855282,0.1793964731736077,0.3105536795840703,0.4968644476603955
Swarm,0.5,0.3,0.2,3,0.02,0.0709358211676752,0.1025819805939742,0.0974797201349368,0.1922124777141384,0.0434260599238891,0.0428391488449375,0.1873827517821729,0.3177895695985421,0.4963284558074717
Swarm,0.5,0.3,0.2,5,0.005,0.0713755458421138,0.1042910124114345,0.0979334814288159,0.1960311716698123,0.0433992603312429,0.0434716192313876,0.1833628128852441,0.3166103875221097,0.5042075360454521
Swarm,0.5,0.3,0.2,5,0.01,0.0678831266476298,0.100368118028737,0.0934051011300227,0.1901625091597173,0.0418931232245269,0.0424398349145093,0.1775741008736667,0.3050865626842472,0.4938628932840221
Swarm,0.5,0.3,0.2,5,0.02,0.0710073253032197,0.1034192733054209,0.0974594715831323,0.1940618458384869,0.0430991048936056,0.0428954279894945,0.1881331403762662,0.3165567883368173,0.4994372085544299
Swarm,0.5,0.3,0.2,10,0.005,0.0714390712801493,0.1037575251905653,0.0976226747972899,0.1941198628562465,0.043694055850351,0.0431473441603687,0.1856675778528166,0.3189687516749745,0.5012595808543711
Swarm,0.5,0.3,0.2,10,0.01,0.0699163192866463,0.1024948406901932,0.0959182204286773,0.1926892806749628,0.0425148737739186,0.0428659484375837,0.1828268210323203,0.3125904486251809,0.4953100712869164
Swarm,0.5,0.3,0.2,10,0.02,0.0694809092621761,0.1017271993134233,0.0947118928836424,0.190734781123154,0.0424130353218631,0.0426006324703864,0.1841668006646299,0.3114112665487484,0.4983116256632899
Swarm,0.5,0.3,0.5,1,0.005,0.0689454754220928,0.1011660302609742,0.0965552760868955,0.1922323112826525,0.0422468778474567,0.0424853942220078,0.1784852870236372,0.3100712869164388,0.492737310392882
Swarm,0.5,0.3,0.5,1,0.01,0.0699398892545321,0.1021811744449385,0.0961825879672546,0.1915718682290116,0.0427024709224419,0.042737310392882,0.180414857694163,0.3116792624752104,0.4976148362544889
Swarm,0.5,0.3,0.5,1,0.02,0.0679139844620943,0.1001262887631388,0.0935077632096977,0.1895134642078302,0.0421771989065766,0.0426354719408265,0.1756445302031409,0.3077665219488664,0.4923621160958353
Swarm,0.5,0.3,0.5,3,0.005,0.070846942124671,0.103585190185773,0.0962155056824309,0.1937399326457305,0.043243822693895,0.0432063032641903,0.1889907273409444,0.3167711850779868,0.5016347751514177
Swarm,0.5,0.3,0.5,3,0.01,0.0699179224416183,0.1017229764797094,0.0954730450904455,0.189855174398245,0.0425416733665648,0.0423969555662754,0.1808436511765021,0.3110896714369942,0.4943452859516535
Swarm,0.5,0.3,0.5,3,0.02,0.0695788698502201,0.1013873147776571,0.0957205619423067,0.1895207766217113,0.0424612745886262,0.0424961140590663,0.181808436511765,0.3115184649193332,0.4926837112075896
Swarm,0.5,0.3,0.5,5,0.005,0.0690708000342136,0.1016672151031099,0.0949413320686107,0.1928347909273204,0.0429490271747869,0.0429570670525808,0.1807364528059173,0.3136088331457362,0.4986332207750442
Swarm,0.5,0.3,0.5,5,0.01,0.0713795598627674,0.1030052380556601,0.0984121573293881,0.192122763987742,0.0429865466044916,0.0429088277858176,0.1845955941469689,0.3144128209251219,0.4975612370691965
Swarm,0.5,0.3,0.5,5,0.02,0.0687257393645793,0.1017471925095434,0.0945825656199138,0.192181164762046,0.0419199228171731,0.0426488717371495,0.1764485179825266,0.3084633113576673,0.4947204802487002
Swarm,0.5,0.3,0.5,10,0.005,0.0691255530908946,0.1009456806615336,0.0953064242244892,0.190186145237609,0.0423862357292169,0.042455914670097,0.1820228332529345,0.3107144771399475,0.4927909095781744
Swarm,0.5,0.3,0.5,10,0.01,0.0691627089551049,0.101761383341404,0.0960327440603128,0.1923122438215662,0.0420003215951117,0.0425497132443586,0.17832448946776,0.3133408372192742,0.4994908077397224
Swarm,0.5,0.3,0.5,10,0.02,0.0692431189783692,0.1017991519432074,0.0953582594422449,0.1924871544397408,0.0427667899447928,0.0428981079487591,0.1823444283646888,0.3146272176662915,0.497346840328027
Swarm,0.5,0.3,1.0,1,0.005,0.0700584499835417,0.1017201555349671,0.0967253787870085,0.1905018395044652,0.0429758267674331,0.0427078308409712,0.1807364528059173,0.3174143753014954,0.4968644476603955
Swarm,0.5,0.3,1.0,1,0.01,0.0691497341616688,0.1011090181797836,0.0945872516324116,0.1894157605374738,0.042455914670097,0.0426488717371495,0.1799860642118239,0.3114112665487484,0.4930053063193439
Swarm,0.5,0.3,1.0,1,0.02,0.0710320823017453,0.1032874054825092,0.0978099535158573,0.1945065321933941,0.0431634239159564,0.0428391488449375,0.1859891729645709,0.3169855818191563,0.5000267995926462
Swarm,0.5,0.3,1.0,3,0.005,0.0693285338915905,0.101630647478003,0.0949196947028525,0.1905839854835833,0.042230798091869,0.0423969555662753,0.1826660234764431,0.3120008575869646,0.491611727501742
Swarm,0.5,0.3,1.0,3,0.01,0.0685173278667937,0.1007684091585105,0.0949639521766887,0.191045112236654,0.0422897571956906,0.04243447499598,0.178592485394222,0.3115720641046256,0.4939700916546068
Swarm,0.5,0.3,1.0,3,0.02,0.0693703493697339,0.1008804432386536,0.0946786379309487,0.1881086807601119,0.0429704668489039,0.0427292705150881,0.1842739990352146,0.3156992013721391,0.4951492737310393
Swarm,0.5,0.3,1.0,5,0.005,0.0696223006861571,0.1016029755227364,0.0951343814351445,0.189877482569594,0.042455914670097,0.0428418288042021,0.1800932625824087,0.309535295063515,0.4946668810634078
Swarm,0.5,0.3,1.0,5,0.01,0.0689073060313798,0.1008725117143674,0.0961371557334828,0.1909628499644407,0.0420807203730503,0.042187918743635,0.1802540601382859,0.3131264404781047,0.4947204802487002
Swarm,0.5,0.3,1.0,5,0.02,0.0675792270944088,0.0999903152128098,0.0925953372982776,0.189107157678039,0.0419735220024655,0.0422415179289274,0.1796108699147773,0.3102856836576084,0.4944524843222383
Swarm,0.5,0.3,1.0,10,0.005,0.0698163359344916,0.1025150550631469,0.0957140727748253,0.1929335613145142,0.0426059923889156,0.0428659484375837,0.1819156348823498,0.3117328616605027,0.4995980061103071
Swarm,0.5,0.3,1.0,10,0.01,0.0704791789813943,0.1033604736825482,0.096653943793336,0.1942522119921919,0.0426917510853835,0.0430723053009594,0.1839524039234603,0.3143056225545371,0.5006699898161548
Swarm,0.5,0.3,1.0,10,0.02,0.0684581911748456,0.1003684706852152,0.0945837737578223,0.1895331183031463,0.0420485608618749,0.0420914402101088,0.175805327759018,0.3082489146164978,0.4925229136517124
Swarm,0.5,0.3,2.0,1,0.005,0.0694276461985168,0.1014077904649508,0.0965870253753794,0.1917975627156914,0.0428257490486144,0.0425389934073002,0.1815940397705955,0.3137160315163209,0.4977756338103661
Swarm,0.5,0.3,2.0,1,0.01,0.0703817070061388,0.1021771083284931,0.0962118031936269,0.1907892314008328,0.0432116631827196,0.0429249075414053,0.1821300316235193,0.3167711850779868,0.4961676582515946
Swarm,0.5,0.3,2.0,1,0.02,0.0688730730510639,0.1010458614307632,0.0939298537431604,0.1901994123149974,0.0424076754033338,0.0425148737739186,0.181808436511765,0.3090529023958835,0.4947204802487002
Swarm,0.5,0.3,2.0,3,0.005,0.0682540989620433,0.1001127116426761,0.0938686197162413,0.1877157720987106,0.0414857694163048,0.0418663236318807,0.1787532829500991,0.3080881170606206,0.4915045291311572
Swarm,0.5,0.3,2.0,3,0.01,0.0702769106898053,0.1021921854203595,0.097434549150055,0.1920045084061096,0.0426435118186203,0.0425791927962695,0.1849707884440156,0.3150560111486305,0.4986332207750442
Swarm,0.5,0.3,2.0,3,0.02,0.0725149806084829,0.1041998731319389,0.0995348487399393,0.1938226385610177,0.0433617409015383,0.0428954279894945,0.1851315859998928,0.3175215736720801,0.4972932411427346
Swarm,0.5,0.3,2.0,5,0.005,0.0717477485167414,0.1040731042823776,0.0982408146566982,0.194228441873543,0.0436082971538832,0.0433992603312429,0.1852923835557699,0.3153776062603848,0.4958460631398402
Swarm,0.5,0.3,2.0,5,0.01,0.0701596212698928,0.1021377666139744,0.0960589477279967,0.1913947863026232,0.0425577531221525,0.0426167122259741,0.182505225920566,0.3135552339604438,0.4939164924693144
Swarm,0.5,0.3,2.0,5,0.02,0.069688175793925,0.1014557063125347,0.0963772072817596,0.1907643119719929,0.0427560701077343,0.0426703114112665,0.1828268210323203,0.3140912258133676,0.4969180468456879
Swarm,0.5,0.3,2.0,10,0.005,0.0702373467389574,0.1022317833506619,0.0971592483800981,0.1925259868782459,0.0432867020421289,0.0428311089671437,0.1838452055528756,0.3148952135927534,0.4934876989869754
Swarm,0.5,0.3,2.0,10,0.01,0.0686846327860756,0.1013352184262893,0.0954247509603177,0.1926376315552259,0.0423808758106876,0.0426863911668542,0.1786460845795144,0.3129120437369352,0.4963284558074717
Swarm,0.5,0.3,2.0,10,0.02,0.0717510820014056,0.1043092034946798,0.0984747524468734,0.1956961438913263,0.0438173339765235,0.0435520180093262,0.1886691322291901,0.3188615533043897,0.502224366189634
Swarm,0.5,0.5,0.2,1,0.005,0.0689347750591168,0.1014326762006322,0.0941592226995217,0.1911175916643213,0.0418824033874685,0.0423647960550999,0.1815404405853031,0.3087313072841293,0.4945596826928231
Swarm,0.5,0.5,0.2,1,0.01,0.0711647763114846,0.1033526873830411,0.0971742464162119,0.1941280007285963,0.0436082971538832,0.0432304228975719,0.1852387843704775,0.3143592217398295,0.4986868199603366
Swarm,0.5,0.5,0.2,1,0.02,0.0680676721425928,0.099679333005553,0.0942794442531237,0.1882522464749405,0.041737685587179,0.0417993246502653,0.1770381090207428,0.3073913276518197,0.4897893552018009
Swarm,0.5,0.5,0.2,3,0.005,0.0699719039138056,0.1017776296623314,0.0945309582693538,0.189130369951281,0.0427346304336174,0.0426676314520019,0.1810580479176716,0.3133944364045666,0.4938628932840221
Swarm,0.5,0.5,0.2,3,0.01,0.0683739755335076,0.1013259108098477,0.0935480127056395,0.1914982382600172,0.0422147183362812,0.0426542316556788,0.1796644691000696,0.3096960926193922,0.4967572492898108
Swarm,0.5,0.5,0.2,3,0.02,0.0700675311338731,0.1016108122402735,0.0985504512190827,0.1916914848492967,0.0423487162995122,0.0424291150774508,0.1815940397705955,0.3136624323310286,0.4983116256632899
Swarm,0.5,0.5,0.2,5,0.005,0.069006745948556,0.1018045456056338,0.0968465763026634,0.1945387309573622,0.0420592806989333,0.0423969555662753,0.179021278876561,0.3113576673634561,0.4972932411427346
Swarm,0.5,0.5,0.2,5,0.01,0.0670867386825311,0.0994594131386112,0.0922878400970539,0.1885948429116852,0.0416572868092405,0.0422254381733397,0.1782708902824677,0.3062657447606796,0.492040520984081
Swarm,0.5,0.5,0.2,5,0.02,0.0690424741388424,0.100825555874112,0.0958540120410423,0.1900985135724169,0.0420003215951117,0.0421423594361365,0.1813796430294259,0.3083561129870826,0.4932733022458058
Swarm,0.5,0.5,0.2,10,0.005,0.0705392184326457,0.1021391831817836,0.0977348440114876,0.1916832221134828,0.0435707777241786,0.0428364688856729,0.1844347965910918,0.3166103875221097,0.4970788444015651
Swarm,0.5,0.5,0.2,10,0.01,0.0692968202793986,0.1018094464018591,0.0957689580489898,0.1920440071479028,0.0420110414321702,0.0425979525111218,0.1836844079969984,0.311625663289918,0.4982044272927051
Swarm,0.5,0.5,0.2,10,0.02,0.0702990664982798,0.1025728597803076,0.0967040754882171,0.1926410385355554,0.043152704078898,0.0430803451787532,0.1821836308088117,0.3158599989280163,0.4997052044808919
swarm,0.5,0.5,0.5,1,0.005,0.0703941197229987,0.1028137926327896,0.0973511587385024,0.1942514841278698,0.0428257490486144,0.0428177091708206,0.1836844079969984,0.3146272176662915,0.5009379857426167
swarm,0.5,0.5,0.5,1,0.01,0.0676579031813774,0.1000148688450726,0.0928390912777009,0.1898877514787032,0.0418824033874685,0.0421450393954011,0.1793964731736077,0.3078737203194511,0.4917189258723267
swarm,0.5,0.5,0.5,1,0.02,0.0696878204887528,0.1018151062190985,0.0959026452476742,0.1911160312582688,0.0423111968698075,0.0425899126333279,0.1834164120705365,0.3128048453663504,0.4947740794339926
swarm,0.5,0.5,0.5,3,0.005,0.0675249334916282,0.099307957172536,0.0919718658920702,0.1869692478393205,0.0418234442836468,0.0420217612692287,0.1780028943560057,0.3075521252076968,0.487698986975398
swarm,0.5,0.5,0.5,3,0.01,0.0697114796311786,0.1019599375646549,0.0970811973173011,0.1925041437717686,0.0423808758106876,0.0425282735702417,0.182505225920566,0.3118400600310875,0.4962212574368869
swarm,0.5,0.5,0.5,3,0.02,0.0699107093162013,0.1017042388499965,0.0964517023633372,0.19110359065217,0.0424880741812724,0.0423862357292169,0.1812188454735488,0.3126976469957657,0.4946668810634078
swarm,0.5,0.5,0.5,5,0.005,0.0692874250525934,0.1015936856138236,0.0954675177736371,0.1913612934294611,0.0424773543442139,0.0427239105965589,0.1795572707294849,0.3128584445516428,0.4954172696575012
swarm,0.5,0.5,0.5,5,0.01,0.0695191997295032,0.1016052405150296,0.0966132370545659,0.1910475927780272,0.0421986385806935,0.0424585946293616,0.1812188454735488,0.3124296510693037,0.4948812778045773
swarm,0.5,0.5,0.5,5,0.02,0.0681545601599322,0.1001517548658832,0.0938638530964243,0.189363769022794,0.0421557592324596,0.0421450393954011,0.1776277000589591,0.3089993032105912,0.4924157152811277
swarm,0.5,0.5,0.5,10,0.005,0.069669249924861,0.1015584805714564,0.0959874556336898,0.191194901058556,0.0429275875006699,0.0426435118186203,0.1798252666559468,0.3131264404781047,0.4957924639545479
swarm,0.5,0.5,0.5,10,0.01,0.0692052447083914,0.1004539424012345,0.0945894489512438,0.1874563435099955,0.0420914402101088,0.0420298011470225,0.1821836308088117,0.3110360722517017,0.490914938092941
swarm,0.5,0.5,0.5,10,0.02,0.070760754849994,0.1028414741415325,0.0973699304725111,0.1930623264102821,0.0433671008200675,0.0431634239159564,0.1848099908881385,0.3177359704132497,0.5012059816690786
swarm,0.5,0.5,1.0,1,0.005,0.0690980962557498,0.1012397556445615,0.0947244079308369,0.1904846450384061,0.0424827142627432,0.042568472959211,0.1797716674706544,0.312054456772257,0.4947204802487002
