dataset,setting_type,setting_value,epsilon_target,epsilon_one_round_rdp,noise_multiplier_sigma,poison_percent,n_clients,n_attackers,ndcg@10,ndcg@20,seed,best_training.local_epochs,best_training.learning_rate,best_preference.beta_Q,best_preference.lambda_uncertainty,best_preference.kappa
Foursquare,epsilon,0.5,0.5,0.5,5.656854249492381,0,30,0,0.0799334990945803,0.1212044333699981,92,3,0.005,0.5,0.3,1.0
Foursquare,epsilon,0.5,0.5,0.5,5.656854249492381,30,30,9,0.0798830090431153,0.1197229876817041,122,3,0.005,0.5,0.3,1.0
Foursquare,epsilon,1.0,1.0,1.0,4.0,0,30,0,0.0796258102448524,0.1194029921376051,142,3,0.005,0.5,0.3,1.0
Foursquare,epsilon,1.0,1.0,1.0,4.0,30,30,9,0.0811861520952287,0.1199492948283672,172,3,0.005,0.5,0.3,1.0
Foursquare,epsilon,2.0,2.0,2.0,2.8284271247461903,0,30,0,0.0792665954431451,0.1194054456674802,242,3,0.005,0.5,0.3,1.0
Foursquare,epsilon,2.0,2.0,2.0,2.8284271247461903,30,30,9,0.0773157222135215,0.1181888796102438,272,3,0.005,0.5,0.3,1.0
Foursquare,epsilon,5.0,5.0,5.0,1.7888543819998317,0,30,0,0.0781309129564209,0.1201552557209353,542,3,0.005,0.5,0.3,1.0
Foursquare,epsilon,5.0,5.0,5.0,1.7888543819998317,30,30,9,0.077411198785921,0.1185610727450223,572,3,0.005,0.5,0.3,1.0
Foursquare,sigma,0.5,64.0,64.0,0.5,0,30,0,0.078864509622299,0.1192709722163048,92,3,0.005,0.5,0.3,1.0
Foursquare,sigma,0.5,64.0,64.0,0.5,30,30,9,0.0770174303674206,0.1153034540147101,122,3,0.005,0.5,0.3,1.0
Foursquare,sigma,1.0,16.0,16.0,1.0,0,30,0,0.0795094751060868,0.1208533580607805,142,3,0.005,0.5,0.3,1.0
Foursquare,sigma,1.0,16.0,16.0,1.0,30,30,9,0.0835737697321327,0.1214576615741307,172,3,0.005,0.5,0.3,1.0
Foursquare,sigma,2.0,4.0,4.0,2.0,0,30,0,0.077672570191956,0.1181990252268026,242,3,0.005,0.5,0.3,1.0
Foursquare,sigma,2.0,4.0,4.0,2.0,30,30,9,0.0765202396536001,0.1180142150394429,272,3,0.005,0.5,0.3,1.0
Gowalla,epsilon,0.5,0.5,0.5,5.656854249492381,0,30,0,0.1056070235341527,0.1385263224583413,92,10,0.02,1.5,0.3,2.0
Gowalla,epsilon,0.5,0.5,0.5,5.656854249492381,30,30,9,0.1076724498678664,0.1412513609539126,122,10,0.02,1.5,0.3,2.0
Gowalla,epsilon,1.0,1.0,1.0,4.0,0,30,0,0.1057144399143771,0.1382359230845294,142,10,0.02,1.5,0.3,2.0
Gowalla,epsilon,1.0,1.0,1.0,4.0,30,30,9,0.105636192096929,0.1400122042503489,172,10,0.02,1.5,0.3,2.0
Gowalla,epsilon,2.0,2.0,2.0,2.8284271247461903,0,30,0,0.1039994138965299,0.1378870075596948,242,10,0.02,1.5,0.3,2.0
Gowalla,epsilon,2.0,2.0,2.0,2.8284271247461903,30,30,9,0.1080637069603632,0.1412567853702238,272,10,0.02,1.5,0.3,2.0
Gowalla,epsilon,5.0,5.0,5.0,1.7888543819998317,0,30,0,0.1038526708329774,0.1388941268109312,542,10,0.02,1.5,0.3,2.0
Gowalla,epsilon,5.0,5.0,5.0,1.7888543819998317,30,30,9,0.109760413916544,0.144048530258566,572,10,0.02,1.5,0.3,2.0
Gowalla,sigma,0.5,64.0,64.0,0.5,0,30,0,0.1053052430393333,0.1375960411047259,92,10,0.02,1.5,0.3,2.0
