dataset,client_count,aggregation_mode,top_k_fraction,time_per_round_seconds,parameter_count,update_bytes_per_client,communication_bytes_per_round,communication_mb_per_round,server_client_update_memory_mb,selected_clients,local_epochs,device,seed
Foursquare,10,full,1.0,0.2242674000008264,77538,620304,6203040,5.915679931640625,5.915679931640625,10,3,cpu,42
Foursquare,10,top_k_50_percent,0.5,0.2107008000002679,77538,620304,6203040,5.915679931640625,5.915679931640625,5,3,cpu,42
Foursquare,50,full,1.0,0.5673815999998624,77538,620304,31015200,29.578399658203125,29.578399658203125,50,3,cpu,42
Foursquare,50,top_k_50_percent,0.5,0.5807241999991675,77538,620304,31015200,29.578399658203125,29.578399658203125,25,3,cpu,42
Foursquare,100,full,1.0,1.0981766999993852,77538,620304,62030400,59.15679931640625,59.15679931640625,100,3,cpu,42
Foursquare,100,top_k_50_percent,0.5,1.0980895000011517,77538,620304,62030400,59.15679931640625,59.15679931640625,50,3,cpu,42
Foursquare,500,full,1.0,5.44145109999954,77538,620304,310152000,295.78399658203125,295.78399658203125,500,3,cpu,42
Foursquare,500,top_k_50_percent,0.5,5.428704500000094,77538,620304,310152000,295.78399658203125,295.78399658203125,250,3,cpu,42
Gowalla,10,full,1.0,2.570220499999777,156722,1253776,12537760,11.956939697265623,11.956939697265623,10,10,cpu,42
Gowalla,10,top_k_50_percent,0.5,1.3994357000010496,156722,1253776,12537760,11.956939697265623,11.956939697265623,5,10,cpu,42
Gowalla,50,full,1.0,2.228546700000152,156722,1253776,62688800,59.784698486328125,59.784698486328125,50,10,cpu,42
Gowalla,50,top_k_50_percent,0.5,2.1751288999985263,156722,1253776,62688800,59.784698486328125,59.784698486328125,25,10,cpu,42
Gowalla,100,full,1.0,2.870728599998984,156722,1253776,125377600,119.56939697265624,119.56939697265624,100,10,cpu,42
Gowalla,100,top_k_50_percent,0.5,2.779798200001096,156722,1253776,125377600,119.56939697265624,119.56939697265624,50,10,cpu,42
Gowalla,500,full,1.0,14.379097600000025,156722,1253776,626888000,597.8469848632812,597.8469848632812,500,10,cpu,42
Gowalla,500,top_k_50_percent,0.5,14.49637360000088,156722,1253776,626888000,597.8469848632812,597.8469848632812,250,10,cpu,42
Swarm,10,full,1.0,8.427125000001979,915922,7327376,73273760,69.87930297851562,69.87930297851562,10,1,cpu,42
Swarm,10,top_k_50_percent,0.5,6.859202899999218,915922,7327376,73273760,69.87930297851562,69.87930297851562,5,1,cpu,42
Swarm,50,full,1.0,9.234927000004973,915922,7327376,366368800,349.3965148925781,349.3965148925781,50,1,cpu,42
Swarm,50,top_k_50_percent,0.5,9.0559809999977,915922,7327376,366368800,349.3965148925781,349.3965148925781,25,1,cpu,42
Swarm,100,full,1.0,12.579241899999031,915922,7327376,732737600,698.7930297851562,698.7930297851562,100,1,cpu,42
Swarm,100,top_k_50_percent,0.5,12.174248800001806,915922,7327376,732737600,698.7930297851562,698.7930297851562,50,1,cpu,42
Swarm,500,full,1.0,99.30500210000172,915922,7327376,3663688000,3493.965148925781,3493.965148925781,500,1,cpu,42
Swarm,500,top_k_50_percent,0.5,116.66178759999455,915922,7327376,3663688000,3493.965148925781,3493.965148925781,250,1,cpu,42
